KODE_KPP;NAMA_KPP;;
010;KanWil DJP Nanggroe Aceh Darussalam;;
020;KanWil DJP Sumatera Utara I;;
030;KanWil DJP Sumatera Utara II;;
040;KanWil DJP Riau;;
050;KanWil DJP Sumatra Barat dan Jambi;;
060;KanWil DJP Sumatra Selatan dan Kep. Bangka Belitung;;
070;KanWil DJP Bengkulu dan Lampung;;
080;KanWil DJP Jakarta Pusat;;
090;KanWil DJP Jakarta Barat;;
100;KanWil DJP Jakarta Selatan I;;
110;KanWil DJP Jakarta Timur;;
120;KanWil DJP Jakarta Utara;;
130;KanWil DJP Jakarta Khusus;;
140;KanWil DJP Banten;;
150;KanWil DJP Jawa Barat I;;
160;KanWil DJP Jawa Barat II;;
170;KanWil DJP Jawa Tengah I;;
180;KanWil DJP Jawa Tengah II;;
190;KanWil DJP Daerah Istimewa Yogyakarta;;
200;KanWil DJP Jawa Timur I;;
210;KanWil DJP Jawa Timur II;;
220;KanWil DJP Jawa Timur III;;
230;KanWil DJP Kalimantan Barat;;
240;KanWil DJP Kalimantan Selatan Dan Kalimantan Tengah;;
250;KanWil DJP Kalimantan Timur dan Utara;;
260;KanWil DJP Sulawesi Selatan; Barat dan Tenggara;
270;KanWil DJP Sulawesi Utara; Tengah; Gorontalo Dan Maluku Utara (SULUTTENGGO DAN MALUT) 
280;KanWil DJP Bali;;
290;KanWil DJP Nusa Tenggara;;
300;KanWil DJP Papua Dan Maluku;;
310;KanWil DJP Wajib Pajak Besar;;
320;KanWil DJP JAKARTA SELATAN II;;
330;KanWil DJP JAWA BARAT III;;
340;KanWil  DJP KEPULAUAN RIAU ;;
001;KPP Pratama Jakarta Matraman;;
002;KPP Pratama Jakarta Jatinegara;;
003;KPP Pratama Jakarta Pulogadung;;
004;KPP Pratama Jakarta Cakung Satu;;
005;KPP Pratama Jakarta Kramat Jati;;
006;KPP Pratama Jakarta Cakung Dua;;
007;KPP Madya Jakarta Timur;;
008;KPP Pratama Jakarta Duren Sawit;;
009;KPP Pratama Jakarta Pasar Rebo;;
011;KPP Pratama Jakarta Setiabudi Satu;;
012;KPP Pratama Jakarta Kebayoran Baru Satu;;
013;KPP Pratama Jakarta Kebayoran Lama;;
014;KPP Pratama Jakarta Mampang Prapatan;;
015;KPP Pratama Jakarta Tebet;;
016;KPP Pratama Jakarta Cilandak;;
017;KPP Pratama Jakarta Pasar Minggu;;
018;KPP Pratama Jakarta Setiabudi Dua;;
019;KPP Pratama Jakarta Kebayoran Baru Dua;;
021;KPP Pratama Jakarta Menteng Satu;;
022;KPP Pratama Jakarta Tanah Abang Satu;;
023;KPP Pratama Jakarta Senen;;
